Time [s],Channel 0,Channel 1,Channel 2
0.000000000,0,0,0
0.795580640,0,0,1
0.844292480,0,1,1
0.844349760,0,0,1
0.844407360,0,1,1
0.844414240,0,0,1
0.844420640,0,1,1
0.844427040,0,0,1
0.844471840,0,1,1
0.844478560,0,0,1
0.844484960,0,1,1
0.848743040,0,0,1
0.848800640,0,1,1
0.848807360,0,0,1
0.848813760,0,1,1
0.848820160,0,0,1
0.848864960,0,1,1
0.848871840,0,0,1
0.848878240,0,1,1
0.879578080,0,0,1
0.879635520,0,1,1
0.879642400,0,0,1
0.879648800,0,1,1
0.879655200,0,0,1
0.879700000,0,1,1
0.879706880,0,0,1
0.879713120,0,1,1
0.894585280,0,0,1
0.894642880,0,1,1
0.894649760,0,0,1
0.894662560,0,1,1
0.894675360,0,0,1
0.894707360,0,1,1
0.894714080,0,0,1
0.894726880,0,1,1
0.894733280,0,0,1
0.894739680,0,1,1
0.912059840,0,0,1
0.912117440,0,1,1
0.912124160,0,0,1
0.912136960,0,1,1
0.912149760,0,0,1
0.912181760,0,1,1
0.912188640,0,0,1
0.912201440,0,1,1
0.912207840,0,0,1
0.912214240,0,1,1
0.927060960,0,0,1
0.927094080,0,1,1
0.927136960,0,0,1
0.932066080,0,1,1
1.046176800,0,0,0
1.046177120,0,0,1
1.046177600,0,0,0
1.046177760,0,0,1
1.046178240,0,0,0
1.046178400,0,0,1
1.046178880,0,0,0
1.046179040,0,0,1
1.046179520,0,0,0
1.046179680,0,0,1
1.046180160,0,0,0
1.046180480,0,0,1
1.046180800,0,0,0
1.046181120,0,0,1
1.046181440,0,0,0
1.046181760,0,0,1
1.046182240,0,0,0
1.046182400,0,0,1
1.046182880,0,0,0
1.046183040,0,0,1
1.046183520,0,0,0
1.046183680,0,0,1
1.046184160,0,0,0
1.046184480,0,0,1
1.046184800,0,0,0
1.046185120,0,0,1
1.046185440,0,0,0
1.046185760,0,0,1
1.046186240,0,0,0
1.046186400,0,0,1
1.046186880,0,0,0
1.046187040,0,0,1
1.046187520,0,0,0
1.046187680,0,0,1
1.046188160,0,0,0
1.046188480,0,0,1
1.046188800,1,0,0
1.046189120,1,0,1
1.046189440,1,0,0
1.046189760,1,0,1
1.046190080,1,0,0
1.046190400,1,0,1
1.046190880,1,0,0
1.046191040,1,0,1
1.046191520,1,0,0
1.046191680,1,0,1
1.046192160,1,0,0
1.046192480,1,0,1
1.046192800,1,0,0
1.046193120,1,0,1
1.046193440,1,0,0
1.046193760,1,0,1
1.046194080,0,0,0
1.046194400,0,0,1
1.046194880,0,0,0
1.046195040,0,0,1
1.046195520,0,0,0
1.046195680,0,0,1
1.046196160,1,0,0
1.046196480,1,0,1
1.046196800,1,0,0
1.046197120,1,0,1
1.046197440,0,0,0
1.046197760,0,0,1
1.047001120,0,0,0
1.047001440,0,0,1
1.047001760,0,0,0
1.047002080,0,0,1
1.047002560,0,0,0
1.047002720,0,0,1
1.047003200,0,0,0
1.047003360,0,0,1
1.047003680,1,0,1
1.047003840,1,1,0
1.047004000,1,1,1
1.047004480,0,0,0
1.047004800,0,0,1
1.047005120,0,0,0
1.047005440,0,0,1
1.047005760,0,0,0
1.047006080,0,0,1
1.047006560,0,0,0
1.047006720,0,0,1
1.047007200,0,0,0
1.047007360,0,0,1
1.047007840,0,0,0
1.047008000,0,0,1
1.047008320,1,0,1
1.047008480,1,0,0
1.047008800,1,0,1
1.047009120,0,0,0
1.047009440,0,0,1
1.047009760,0,0,0
1.047010080,0,0,1
1.047010400,0,0,0
1.047010720,0,0,1
1.047011200,0,0,0
1.047011360,0,0,1
1.047011680,1,0,1
1.047011840,1,1,0
1.047012000,1,1,1
1.047012480,0,0,0
1.047012800,0,0,1
1.047013120,0,1,0
1.047013440,0,1,1
1.047013760,0,1,0
1.047014080,0,1,1
1.047014400,0,1,0
1.047014720,0,1,1
1.047015200,0,1,0
1.047015360,0,1,1
1.047015840,0,1,0
1.047016000,0,1,1
1.047016480,0,1,0
1.047016800,0,1,1
1.047017120,0,1,0
1.047017440,0,1,1
1.047017760,0,1,0
1.047018080,0,1,1
1.047018400,1,0,0
1.047018720,1,0,1
1.047019040,1,1,1
1.047019200,0,1,0
1.047019360,0,1,1
1.047019840,0,1,0
1.047020000,0,1,1
1.047020480,0,0,0
1.047020800,0,0,1
1.047021120,1,0,0
1.047021440,1,0,1
1.047021760,0,0,0
1.047022080,0,0,1
1.047569760,0,0,0
1.047570080,0,0,1
1.047570560,0,0,0
1.047570720,0,0,1
1.047571200,0,0,0
1.047571360,0,0,1
1.047571840,0,0,0
1.047572000,0,0,1
1.047572480,0,0,0
1.047572640,0,0,1
1.047573120,0,0,0
1.047573440,0,0,1
1.047573760,0,0,0
1.047574080,0,0,1
1.047574400,0,0,0
1.047574720,0,0,1
1.047575200,0,0,0
1.047575360,0,0,1
1.047575840,0,0,0
1.047576000,0,0,1
1.047576480,0,0,0
1.047576640,0,0,1
1.047577120,0,0,0
1.047577440,0,0,1
1.047577760,0,0,0
1.047578080,0,0,1
1.047578400,0,0,0
1.047578720,0,0,1
1.047579200,0,0,0
1.047579360,0,0,1
1.047579840,0,0,0
1.047580000,0,0,1
1.047580480,0,0,0
1.047580640,0,0,1
1.047581120,0,0,0
1.047581440,0,0,1
1.047581760,0,1,0
1.047582080,0,1,1
1.047582400,0,1,0
1.047582720,0,1,1
1.047583200,0,1,0
1.047583360,0,1,1
1.047583840,0,1,0
1.047584000,0,1,1
1.047584480,0,1,0
1.047584640,0,1,1
1.047585120,0,1,0
1.047585440,0,1,1
1.047585760,0,1,0
1.047586080,0,1,1
1.047586400,0,1,0
1.047586720,0,1,1
1.047587040,0,0,0
1.047587360,0,0,1
1.047587840,0,0,0
1.047588000,0,0,1
1.047588480,0,0,0
1.047588640,0,0,1
1.047589120,0,1,0
1.047589440,0,1,1
1.047589760,0,1,0
1.047590080,0,1,1
1.047590400,0,0,0
1.047590720,0,0,1
1.048119200,0,0,0
1.048119360,0,0,1
1.048119840,0,0,0
1.048120000,0,0,1
1.048120480,0,0,0
1.048120640,0,0,1
1.048121120,0,0,0
1.048121440,0,0,1
1.048121760,1,1,0
1.048122080,1,1,1
1.048122400,0,0,0
1.048122720,0,0,1
1.048123200,0,0,0
1.048123360,0,0,1
1.048123840,0,0,0
1.048124000,0,0,1
1.048124480,0,0,0
1.048124640,0,0,1
1.048125120,0,0,0
1.048125440,0,0,1
1.048125760,0,0,0
1.048126080,0,0,1
1.048126400,0,0,0
1.048126720,0,0,1
1.048127200,0,0,0
1.048127360,0,0,1
1.048127840,0,0,0
1.048128000,0,0,1
1.048128480,0,0,0
1.048128640,0,0,1
1.048129120,0,0,0
1.048129440,0,0,1
1.048129760,1,1,0
1.048130080,1,1,1
1.048130400,0,0,0
1.048130720,0,0,1
1.048131040,1,0,0
1.048131360,1,0,1
1.048131840,1,0,0
1.048132000,1,0,1
1.048132480,1,0,0
1.048132640,1,0,1
1.048133120,1,0,0
1.048133440,1,0,1
1.048133760,1,0,0
1.048134080,1,0,1
1.048134400,1,0,0
1.048134720,1,0,1
1.048135040,1,0,0
1.048135360,1,0,1
1.048135840,1,0,0
1.048136000,1,0,1
1.048136480,0,0,0
1.048136640,0,0,1
1.048136960,1,0,1
1.048137120,1,1,0
1.048137440,1,1,1
1.048137760,1,0,0
1.048138080,1,0,1
1.048138400,0,0,0
1.048138720,0,0,1
1.048139040,0,1,1
1.048139200,0,1,0
1.048139360,0,1,1
1.048139840,0,0,0
1.048140000,0,0,1
1.048680000,1,0,1
1.048680160,1,0,0
1.048680320,1,0,1
1.048680800,0,0,0
1.048680960,0,0,1
1.048681280,1,0,1
1.048681440,1,0,0
1.048681760,1,0,1
1.048682080,1,0,0
1.048682400,1,0,1
1.048682720,1,0,0
1.048683040,1,0,1
1.048683360,0,0,1
1.048683520,0,0,0
1.048683680,0,0,1
1.048684160,0,0,0
1.048684320,0,0,1
1.048684800,0,0,0
1.048684960,0,0,1
1.048685440,0,0,0
1.048685760,0,0,1
1.048686080,0,0,0
1.048686400,0,0,1
1.048686720,0,0,0
1.048687040,0,0,1
1.048687520,0,0,0
1.048687680,0,0,1
1.048688160,0,0,0
1.048688320,0,0,1
1.048688800,0,0,0
1.048688960,0,0,1
1.048689440,0,0,0
1.048689760,0,0,1
1.048690080,1,0,0
1.048690400,1,0,1
1.048690720,0,0,0
1.048691040,0,0,1
1.048691360,0,0,0
1.048691680,0,0,1
1.048692160,0,0,0
1.048692320,0,0,1
1.048692800,0,0,0
1.048692960,0,0,1
1.048693440,0,0,0
1.048693760,0,0,1
1.048694080,1,0,0
1.048694400,1,0,1
1.048694720,1,0,0
1.048695040,1,0,1
1.048695360,0,0,0
1.048695680,0,0,1
1.048696160,0,0,0
1.048696320,0,0,1
1.048696800,0,0,0
1.048696960,0,0,1
1.048697280,1,0,1
1.048697440,1,0,0
1.048697760,1,0,1
1.048698080,0,0,0
1.048698400,0,0,1
1.048698720,0,0,0
1.048699040,0,0,1
1.048699360,1,0,0
1.048699680,1,0,1
1.048700160,1,0,0
1.048700320,1,0,1
1.048700800,0,0,0
1.048700960,0,0,1
1.049447520,0,0,0
1.049447680,0,0,1
1.049448160,0,0,0
1.049448320,0,0,1
1.049448800,0,0,0
1.049448960,0,0,1
1.049449440,0,0,0
1.049449600,0,0,1
1.049450080,1,1,0
1.049450400,1,1,1
1.049450720,0,0,0
1.049451040,0,0,1
1.049451360,0,0,0
1.049451680,0,0,1
1.049452000,1,0,1
1.049452160,1,0,0
1.049452320,1,0,1
1.049452800,0,0,0
1.049452960,0,0,1
1.049453440,0,0,0
1.049453600,0,0,1
1.049454080,0,0,0
1.049454400,0,0,1
1.049454720,1,0,0
1.049455040,1,0,1
1.049455360,0,0,0
1.049455680,0,0,1
1.049456160,0,0,0
1.049456320,0,0,1
1.049456800,0,0,0
1.049456960,0,0,1
1.049457440,0,0,0
1.049457600,0,0,1
1.049458080,1,1,0
1.049458400,1,1,1
1.049458720,0,0,0
1.049459040,0,0,1
1.049459360,0,0,0
1.049459680,0,0,1
1.049460160,0,0,0
1.049460320,0,0,1
1.049460800,0,0,0
1.049460960,0,0,1
1.049461440,0,1,0
1.049461600,0,1,1
1.049462080,0,1,0
1.049462400,0,1,1
1.049462720,0,0,0
1.049463040,0,0,1
1.049463360,0,0,0
1.049463680,0,0,1
1.049464160,0,0,0
1.049464320,0,0,1
1.049464640,1,1,1
1.049464800,1,1,0
1.049464960,1,1,1
1.049465440,0,0,0
1.049465600,0,0,1
1.049466080,1,1,0
1.049466400,1,1,1
1.049466720,0,0,0
1.049467040,0,0,1
1.049467360,1,1,0
1.049467680,1,1,1
1.049468000,0,0,0
1.049468320,0,0,1
1.049992320,0,1,1
1.049992480,0,1,0
1.049992640,0,1,1
1.049993120,0,0,0
1.049993280,0,0,1
1.049993760,0,1,0
1.049993920,0,1,1
1.049994400,0,1,0
1.049994720,0,1,1
1.049995040,0,1,0
1.049995360,0,1,1
1.049995680,0,0,0
1.049996000,0,0,1
1.049996480,0,0,0
1.049996640,0,0,1
